"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 26 11:52:22 BRT 2021","Mon Apr 26 11:52:26 BRT 2021","4223","","Realizar o login","","exemplo","","Realizar o login","Location - features/specs/exemplo.feature:11"
"passed","Mon Apr 26 11:52:26 BRT 2021","Mon Apr 26 11:52:27 BRT 2021","739","","Realizar o login","","exemplo","","Usuário e senha invalidos","Location - features/specs/exemplo.feature:20"
